Company,Ticker,Founding Year,,Prospectus link,
Ebay Inc,EBAY,1998,Posted in 2016,https://www.sec.gov/Archives/edgar/data/0001065088/000119312516473745/d147282d424b5.htm,1
eGain Communications,EGAN,1999,,https://www.sec.gov/Archives/edgar/data/0001066194/000104746919001242/a2238081z424b5.htm,1
NetSolve Inc,NTSL,1999,,https://www.sec.gov/Archives/edgar/data/1071342/000093066199002239/0000930661-99-002239.txt,1
Agile Software Corp,AGIL,1999,,https://www.sec.gov/Archives/edgar/data/1071342/000093066199002239/0000930661-99-002239.txt,1
Mediaplex Inc,MPLX,1999,,0,0
Internet Capital Group,ICGE,1999,,0,0
Primus Knowledge Solutions Inc,PKSI,1999,,https://www.sec.gov/Archives/edgar/data/1067797/000103221099000998/0001032210-99-000998.txt,1
Alteon Websystems Inc,ATON,1999,,https://www.sec.gov/Archives/edgar/data/1089925/000101287099003357/0001012870-99-003357.txt,1
Lionbridge Technologies,LIOX,1999,posted 2005,https://www.sec.gov/Archives/edgar/data/0001058299/000095013505006952/b57913b4e424b4.htm,1
N2H2 Inc,3NTWO,1999,,https://www.sec.gov/Archives/edgar/data/1077301/000089102099001254/0000891020-99-001254.txt,1
iXL Enterprises Inc,IIXL,1999,,https://www.sec.gov/Archives/edgar/data/1018705/000094018099000629/0000940180-99-000629.txt,1
SilverStream Software Inc,SSSW,1999,,https://www.sec.gov/Archives/edgar/data/1042282/000095013599004132/0000950135-99-004132.txt,1
E-Tek Dynamics Inc,ETEK,1998,,https://www.sec.gov/Archives/edgar/data/1044007/0001012870-98-003093.txt,1
VerticalNet Inc,VERT,1999,,https://www.sec.gov/Archives/edgar/data/1043946/0000950130-99-000729.txt,1
Autoweb.com,AWEB,1999,,,1
Copper Mountain Networks Inc,CMTN,1999,,https://www.sec.gov/Archives/edgar/data/1031951/0000898430-99-002024.txt,1
Verio Inc,VRIO,1998,,https://www.sec.gov/Archives/edgar/data/1040956/0000950134-98-005930.txt,1
Ariba Inc,ARBA,1999,,https://www.sec.gov/Archives/edgar/data/1084755/000104746999025186/0001047469-99-025186.txt,1
ZDNet,ZDZ,1999,,0,0
AppliedTheory Corporation,ATHYQ,1999,,https://www.sec.gov/Archives/edgar/data/1078577/0000950123-99-003950.txt,1
Ask Jeeves Inc,ASKJ,1999,,https://www.sec.gov/Archives/edgar/data/1054298/000095014999001225/0000950149-99-001225.txt,1
Ashford.Com Inc,ASFD,1999,,https://www.sec.gov/Archives/edgar/data/1089909/000095012999004148/0000950129-99-004148.txt,1
Viant Corp,VIAN,1999,,https://www.sec.gov/Archives/edgar/data/1028122/000104746999024560/0001047469-99-024560.txt,1
drkoop.com Inc,KOOP,1999,,https://www.sec.gov/Archives/edgar/data/1073794/000095010999002068/0000950109-99-002068.txt,1
